time = 25	Re = 1	40	80
0.516005	0.190364	2.247739	18
0.534769	0.197287	2.248027	19
0.553533	0.204209	2.247480	20
0.572297	0.211131	2.246302	21
0.591061	0.218054	2.244739	22
0.609824	0.224976	2.243062	23
0.628588	0.231898	2.241563	24
0.647352	0.238821	2.240542	25
0.666116	0.245743	2.240298	26
0.684880	0.252665	2.241121	27
0.703644	0.259588	2.243278	28
0.722407	0.266510	2.247010	29
0.741171	0.273432	2.252524	30
0.759935	0.280355	2.259988	31
0.778699	0.287277	2.269529	32
0.797463	0.294199	2.281230	33
0.816227	0.301122	2.295136	34
0.834990	0.308044	2.311248	35
0.853754	0.314966	2.329537	36
0.872518	0.321889	2.349938	37
0.891282	0.328811	2.372363	38
0.910046	0.335733	2.396706	39
0.928809	0.342656	2.422844	40
0.947573	0.349578	2.422844	41
4
0.172547	0.079545	2.184951	0
0.190710	0.087919	2.184951	1
0.208873	0.096292	2.199705	2
0.227036	0.104665	2.212927	3
0.245199	0.113038	2.225556	4
0.263362	0.121411	2.238040	5
0.281524	0.129785	2.250531	6
0.299687	0.138158	2.263010	7
0.317850	0.146531	2.275350	8
0.336013	0.154904	2.287371	9
0.354176	0.163277	2.298859	10
0.372339	0.171650	2.309593	11
0.390502	0.180024	2.319357	12
0.408664	0.188397	2.327950	13
0.426827	0.196770	2.335203	14
0.444990	0.205143	2.340985	15
0.463153	0.213516	2.345215	16
0.481316	0.221890	2.347866	17
0.499479	0.230263	2.348979	18
0.517642	0.238636	2.348657	19
0.535804	0.247009	2.347074	20
0.553967	0.255382	2.344466	21
0.572130	0.263756	2.341126	22
0.590293	0.272129	2.337396	23
0.608456	0.280502	2.333652	24
0.626619	0.288875	2.330291	25
0.644782	0.297248	2.327714	26
0.662945	0.305622	2.326313	27
0.681107	0.313995	2.326455	28
0.699270	0.322368	2.328468	29
0.717433	0.330741	2.332635	30
0.735596	0.339114	2.339183	31
0.753759	0.347488	2.348282	32
0.771922	0.355861	2.360039	33
0.790085	0.364234	2.374507	34
0.808247	0.372607	2.391678	35
0.826410	0.380980	2.411499	36
0.844573	0.389354	2.433867	37
0.862736	0.397727	2.458645	38
0.880899	0.406100	2.485662	39
0.899062	0.414473	2.514727	40
0.917225	0.422846	2.514727	41
5
0.165774	0.092838	2.270264	0
0.183224	0.102610	2.270264	1
0.200674	0.112383	2.283856	2
0.218124	0.122155	2.296544	3
0.235574	0.131928	2.309281	4
0.253024	0.141700	2.322456	5
0.270474	0.151472	2.336139	6
0.287924	0.161245	2.350217	7
0.305374	0.171017	2.364472	8
0.322824	0.180790	2.378628	9
0.340274	0.190562	2.392378	10
0.357724	0.200334	2.405406	11
0.375173	0.210107	2.417397	12
0.392623	0.219879	2.428056	13
