0
0.193068	0.010118	-0.005515	0.052360	0.193333
0.206384	0.010816	0.005515	0.052360	0.206667
0.219698	0.011514	0.016145	0.052360	0.220000
0.233013	0.012212	0.026581	0.052360	0.233333
0.246329	0.012910	0.036965	0.052360	0.246667
0.259644	0.013607	0.047401	0.052360	0.260000
0.272958	0.014305	0.057963	0.052360	0.273333
0.286274	0.015003	0.068706	0.052360	0.286667
0.299589	0.015701	0.079668	0.052360	0.300000
0.312904	0.016399	0.090879	0.052360	0.313333
0.326219	0.017096	0.102360	0.052360	0.326667
0.339534	0.017794	0.114124	0.052360	0.340000
0.352849	0.018492	0.126179	0.052360	0.353333
0.366164	0.019190	0.138532	0.052360	0.366667
0.379479	0.019888	0.151183	0.052360	0.380000
0.392794	0.020585	0.164133	0.052360	0.393333
0.406110	0.021283	0.177378	0.052360	0.406667
0.419424	0.021981	0.190914	0.052360	0.420000
0.432739	0.022679	0.204735	0.052360	0.433333
0.446055	0.023377	0.218837	0.052360	0.446667
0.459370	0.024075	0.233210	0.052360	0.460000
0.472684	0.024772	0.247850	0.052360	0.473333
0.486000	0.025470	0.262748	0.052360	0.486667
0.499315	0.026168	0.277897	0.052360	0.500000
0.512629	0.026866	0.293290	0.052360	0.513333
0.525945	0.027564	0.308920	0.052360	0.526667
0.539260	0.028261	0.324781	0.052360	0.540000
0.552575	0.028959	0.340867	0.052360	0.553333
0.565890	0.029657	0.357172	0.052360	0.566667
0.579205	0.030355	0.373691	0.052360	0.580000
0.592520	0.031053	0.390420	0.052360	0.593333
0.605836	0.031750	0.407354	0.052360	0.606667
0.619150	0.032448	0.424491	0.052360	0.620000
0.632465	0.033146	0.441827	0.052360	0.633333
0.645781	0.033844	0.459361	0.052360	0.646667
0.659095	0.034542	0.477090	0.052360	0.660000
0.672410	0.035239	0.495015	0.052360	0.673333
0.685726	0.035937	0.513133	0.052360	0.686667
0.699041	0.036635	0.531445	0.052360	0.700000
0.712355	0.037333	0.549952	0.052360	0.713333
0.725671	0.038031	0.568654	0.052360	0.726667
0.738986	0.038729	0.587553	0.052360	0.740000
0.752301	0.039426	0.606650	0.052360	0.753333
0.765616	0.040124	0.625948	0.052360	0.766667
0.778931	0.040822	0.645448	0.052360	0.780000
0.792246	0.041520	0.665154	0.052360	0.793333
0.805561	0.042218	0.685069	0.052360	0.806667
0.818876	0.042915	0.705196	0.052360	0.820000
