time = 17.6499	Re = 1	40	80
0.147514	0.137374	0.201574	0.749820
0.158622	0.126923	0.203152	0.674838
0.170329	0.113977	0.204945	0.589725
0.181083	0.099818	0.206772	0.503788
0.190046	0.086329	0.208734	0.426384
0.197962	0.072157	0.210703	0.349532
0.210034	0.044926	0.214785	0.210725
0.218296	0.016712	0.218934	0.076408
0.222690	-0.012127	0.223019	-0.054402
0.224113	-0.035905	0.226971	-0.158861
0.223269	-0.059387	0.231032	-0.259969
0.221888	-0.078228	0.235274	-0.338949
0.218989	-0.097186	0.239586	-0.417679
0.216593	-0.112128	0.243896	-0.477698
0.213186	-0.127123	0.248211	-0.537695
0.206914	-0.152733	0.257178	-0.635874
0.205783	-0.168515	0.265977	-0.686157
0.203936	-0.184193	0.274804	-0.734575
0.217783	-0.192790	0.290856	-0.724601
0.243336	-0.183634	0.304851	-0.646470
0.258491	-0.172697	0.310873	-0.588992
0.273880	-0.159195	0.316786	-0.526524
0.290370	-0.138835	0.321854	-0.445999
0.304900	-0.117528	0.326767	-0.367912
0.318012	-0.091937	0.331035	-0.281426
0.323821	-0.077442	0.332952	-0.234742
0.328961	-0.062618	0.334867	-0.188102
0.333244	-0.046905	0.336528	-0.139834
0.336767	-0.030954	0.338186	-0.091658
0.339157	-0.015418	0.339507	-0.045429
0.340829	0.000258	0.340829	0.000757
0.341370	0.016634	0.341775	0.048689
0.341034	0.032978	0.342625	0.096401
0.339546	0.048445	0.342985	0.141719
0.337266	0.063799	0.343248	0.186955
0.333792	0.079122	0.343041	0.232745
0.329398	0.094052	0.342562	0.278127
0.324213	0.108071	0.341751	0.321749
0.318219	0.121715	0.340702	0.365319
0.310900	0.136066	0.339371	0.412538
0.302625	0.149563	0.337566	0.459012
0.293707	0.162931	0.335872	0.506474
0.283815	0.175567	0.333729	0.553982
0.271959	0.190287	0.331920	0.610516
0.259299	0.204292	0.330108	0.667297
0.244659	0.220015	0.329036	0.732411
0.229162	0.235916	0.328894	0.799921
0.211230	0.254743	0.330926	0.878510
0.192661	0.274073	0.335014	0.958089
0.183233	0.286930	0.340446	1.002480
0.173067	0.299623	0.346014	1.046999
0.163923	0.312961	0.353293	1.088306
0.154262	0.326362	0.360983	1.129250
0.144446	0.348348	0.377109	1.177716
0.136847	0.371661	0.396054	1.217997
0.128032	0.398729	0.418781	1.260095
0.124616	0.413627	0.431991	1.278170
0.120801	0.428569	0.445269	1.296054
0.118797	0.452826	0.468149	1.314232
0.117526	0.476630	0.490906	1.329043
0.113608	0.502690	0.515368	1.348530
0.107100	0.525787	0.536584	1.369851
0.104042	0.540883	0.550799	1.380762
0.100732	0.556174	0.565223	1.391624
0.098848	0.575131	0.583564	1.400588
0.097339	0.592485	0.600428	1.407961
0.097972	0.615295	0.623046	1.412895
0.099509	0.627933	0.635768	1.413632
0.101311	0.639652	0.647626	1.413716
0.102448	0.646847	0.654910	1.413720
0.100418	0.662064	0.669636	1.420269
0.086446	0.669173	0.674733	1.442324
0.071202	0.676916	0.680650	1.465996
0.088223	0.667111	0.672919	1.439312
0.073838	0.670579	0.674632	1.461128
0.051999	0.679355	0.681342	1.494404
0.067735	0.672697	0.676099	1.470442
0.082797	0.665613	0.670743	1.447039
0.086418	0.669455	0.675010	1.442419
0.096715	0.659176	0.666233	1.425114
0.084186	0.663154	0.668476	1.444524
0.062547	0.673817	0.676713	1.478236
0.035639	0.681047	0.681979	1.518514
0.057137	0.675553	0.677965	1.486419
0.074290	0.668488	0.672603	1.460120
0.092769	0.658202	0.664708	1.430776
0.099210	0.665764	0.673116	1.422868
0.088213	0.666788	0.672598	1.439265
0.092615	0.672071	0.678422	1.433853
0.096915	0.650780	0.657957	1.422962
0.089321	0.659495	0.665516	1.436177
0.078311	0.665644	0.670235	1.453687
0.057946	0.675628	0.678108	1.485239
0.036818	0.679498	0.680494	1.516665
0.015581	0.681774	0.681952	1.547946
0.032147	0.680014	0.680774	1.523557
0.048733	0.677699	0.679449	1.499011
0.063500	0.672322	0.675314	1.476627
0.077755	0.666525	0.671045	1.454663
0.095383	0.652472	0.659407	1.425638
0.098936	0.650006	0.657493	1.419748
0.096547	0.663504	0.670491	1.426300
0.082306	0.669552	0.674591	1.448483
0.067434	0.676473	0.679826	1.471440
0.086570	0.669814	0.675385	1.442264
0.072161	0.674190	0.678041	1.464168
0.056977	0.679291	0.681676	1.487115
0.072386	0.672813	0.676696	1.463622
0.087117	0.666681	0.672349	1.440859
0.098906	0.666296	0.673597	1.423431
0.098017	0.644306	0.651719	1.419825
0.096559	0.648131	0.655284	1.422904
0.093905	0.649127	0.655884	1.427129
0.091697	0.653622	0.660022	1.431416
0.068355	0.671550	0.675020	1.469359
0.051074	0.676740	0.678665	1.495468
0.027822	0.680152	0.680721	1.529913
-0.001691	0.681261	0.681263	1.573279
0.022336	0.680498	0.680865	1.537984
0.037736	0.678959	0.680007	1.515274
0.053090	0.677018	0.679096	1.492539
0.069409	0.669768	0.673355	1.467533
0.083420	0.662382	0.667614	1.445517
0.091482	0.655549	0.661901	1.432142
0.095678	0.651300	0.658290	1.424937
0.097135	0.644108	0.651391	1.421120
0.100023	0.645993	0.653691	1.417180
0.096982	0.658710	0.665812	1.424616
0.076089	0.673758	0.678041	1.458340
0.093058	0.666652	0.673115	1.432103
0.085512	0.664360	0.669841	1.442787
0.060797	0.675827	0.678556	1.481079
0.087679	0.666347	0.672091	1.439966
0.076791	0.668118	0.672516	1.456362
0.058337	0.676096	0.678608	1.484725
0.035648	0.681790	0.682721	1.518558
0.052987	0.677240	0.679310	1.492715
0.068150	0.672032	0.675479	1.469733
0.091215	0.661126	0.667389	1.433692
0.089227	0.669235	0.675157	1.438251
0.068599	0.676457	0.679926	1.469733
0.092720	0.664146	0.670587	1.432085
0.098872	0.653395	0.660833	1.420615
0.097436	0.640198	0.647570	1.419758
0.094320	0.636775	0.643722	1.423743
0.097143	0.643645	0.650934	1.421000
0.095117	0.644290	0.651273	1.424225
0.094209	0.648565	0.655371	1.426548
0.090953	0.656128	0.662402	1.433054
0.077549	0.666055	0.670555	1.454888
0.061137	0.673103	0.675874	1.480216
0.041594	0.678887	0.680160	1.509605
0.024560	0.680067	0.680510	1.534697
0.007882	0.680683	0.680729	1.559218
-0.013071	0.680432	0.680558	1.590004
-0.030228	0.678727	0.679400	1.615303
-0.045334	0.674065	0.675588	1.637950
-0.030563	0.677720	0.678409	1.615863
-0.015600	0.680366	0.680544	1.593722
0.006804	0.680681	0.680715	1.560801
0.036087	0.679419	0.680377	1.517731
0.064977	0.672078	0.675212	1.474415
0.085289	0.661529	0.667005	1.442577
0.093534	0.651952	0.658627	1.428301
0.095305	0.646016	0.653008	1.424325
0.097156	0.644351	0.651634	1.421143
0.093851	0.636393	0.643276	1.424379
0.096674	0.639226	0.646495	1.420697
0.100955	0.645249	0.653099	1.415595
0.096730	0.659139	0.666198	1.425085
0.084787	0.674973	0.680278	1.445836
0.092901	0.661676	0.668166	1.431305
0.080514	0.669651	0.674474	1.451137
0.095138	0.656461	0.663319	1.426873
0.089089	0.670231	0.676126	1.438648
0.087695	0.661653	0.667439	1.439025
0.072514	0.669230	0.673147	1.462863
0.053011	0.677919	0.679988	1.492758
0.031922	0.681026	0.681774	1.523957
0.011568	0.682981	0.683079	1.553861
0.026595	0.681466	0.681985	1.531790
0.041561	0.679615	0.680885	1.509719
0.068429	0.671774	0.675250	1.469283
0.091186	0.659694	0.665967	1.433443
0.097306	0.659074	0.666218	1.424215
0.084938	0.669413	0.674780	1.444587
0.070493	0.674009	0.677685	1.466587
0.055470	0.678899	0.681161	1.489272
0.070624	0.672251	0.675951	1.466125
0.085225	0.665576	0.671011	1.443442
0.089624	0.669765	0.675735	1.437772
0.101367	0.653081	0.660901	1.416812
0.098060	0.638452	0.645938	1.418397
0.097002	0.638266	0.645595	1.419973
0.094794	0.636740	0.643758	1.423007
0.095105	0.640161	0.647187	1.423310
0.095894	0.645960	0.653039	1.423421
0.093316	0.646320	0.653022	1.427407
0.090344	0.658378	0.664548	1.434425
0.079242	0.664860	0.669565	1.452170
0.054435	0.676038	0.678226	1.490449
0.033709	0.678973	0.679809	1.521190
0.014285	0.680550	0.680700	1.549808
0.001177	0.680438	0.680439	1.569066
-0.019788	0.680022	0.680310	1.599888
-0.039433	0.676791	0.677939	1.628995
-0.044787	0.666374	0.667877	1.637906
-0.040922	0.665833	0.667090	1.632180
-0.032658	0.668458	0.669255	1.619613
-0.023008	0.672498	0.672891	1.604996
-0.022535	0.676257	0.676632	1.604106
-0.036807	0.667008	0.668023	1.625923
-0.044037	0.665528	0.666983	1.636868
-0.047836	0.667959	0.669670	1.642289
-0.042935	0.674475	0.675841	1.634367
-0.018997	0.680035	0.680300	1.598724
-0.003739	0.680412	0.680422	1.576291
0.011317	0.680450	0.680544	1.554167
0.036853	0.679473	0.680471	1.516612
0.052034	0.675644	0.677645	1.493934
0.066553	0.671453	0.674743	1.472001
0.086569	0.660568	0.666217	1.440486
0.093549	0.651244	0.657928	1.428125
0.094614	0.645131	0.652032	1.425177
0.094117	0.640909	0.647783	1.424989
0.093634	0.637508	0.644348	1.424965
0.093392	0.634889	0.641722	1.424744
0.093746	0.633510	0.640409	1.423883
0.096635	0.636802	0.644092	1.420195
0.101818	0.646247	0.654219	1.414529
0.097669	0.659857	0.667046	1.423848
0.080233	0.675619	0.680366	1.452596
0.087800	0.667378	0.673128	1.439988
0.073093	0.671799	0.675763	1.462421
0.056015	0.678457	0.680766	1.488421
0.072726	0.671815	0.675740	1.462962
0.087777	0.666669	0.672423	1.439885
0.079652	0.674925	0.679609	1.453323
0.095351	0.666343	0.673131	1.428665
0.100913	0.650451	0.658232	1.416880
0.094198	0.662615	0.669277	1.429582
0.078355	0.675481	0.680011	1.455314
0.092976	0.668751	0.675183	1.432653
0.079766	0.670663	0.675390	1.452417
0.061873	0.678274	0.681091	1.479826
0.084701	0.667871	0.673220	1.444648
0.099376	0.664322	0.671713	1.422308
0.098685	0.646150	0.653642	1.419240
0.096614	0.646241	0.653423	1.422393
0.095058	0.650590	0.657498	1.425712
0.088273	0.659849	0.665727	1.437808
0.063724	0.673140	0.676150	1.476411
0.046785	0.677576	0.679190	1.501859
0.027275	0.680959	0.681505	1.530764
0.046141	0.677695	0.679264	1.502816
0.062829	0.673492	0.676417	1.477777
0.087512	0.660435	0.666208	1.439057
0.095064	0.651093	0.657996	1.425814
0.097317	0.647463	0.654735	1.421608
0.086190	0.674865	0.680347	1.443770
0.086558	0.667128	0.672720	1.441769
0.101666	0.664074	0.671812	1.418882
0.097760	0.656582	0.663820	1.422991
0.086997	0.661517	0.667213	1.440035
0.066219	0.672029	0.675283	1.472577
0.038238	0.679865	0.680939	1.514612
0.017301	0.681664	0.681883	1.545421
-0.002688	0.682420	0.682426	1.574736
0.015881	0.681729	0.681914	1.547506
0.034848	0.680248	0.681140	1.519612
0.060335	0.674380	0.677074	1.481566
0.079978	0.665452	0.670241	1.451184
0.096443	0.654859	0.661923	1.424575
0.100925	0.659958	0.667631	1.419046
0.083977	0.667659	0.672920	1.445676
0.061695	0.675469	0.678280	1.479712
0.083604	0.665110	0.670344	1.445753
0.094746	0.664966	0.671682	1.429266
0.080305	0.672688	0.677464	1.451980
0.092667	0.661042	0.667506	1.431520
0.101192	0.649855	0.657686	1.416323
0.097257	0.636969	0.644351	1.419280
0.093941	0.632606	0.639543	1.423375
0.093661	0.634170	0.641049	1.424165
0.094158	0.637439	0.644355	1.424144
0.095080	0.642029	0.649032	1.423772
0.095275	0.648524	0.655486	1.424930
0.086239	0.661331	0.666930	1.441125
0.073289	0.667861	0.671870	1.461497
0.056533	0.675374	0.677736	1.487284
0.038356	0.678347	0.679431	1.514314
0.020142	0.680348	0.680646	1.541199
0.005607	0.680395	0.680419	1.562555
-0.012368	0.680105	0.680217	1.588980
-0.033179	0.678145	0.678956	1.619683
-0.046681	0.671923	0.673542	1.640159
-0.045919	0.666624	0.668203	1.639571
-0.039815	0.666415	0.667604	1.630471
-0.025899	0.671595	0.672094	1.609340
-0.016969	0.676712	0.676925	1.595866
-0.034634	0.677125	0.678011	1.621901
-0.017247	0.678451	0.678670	1.596212
-0.015550	0.678676	0.678854	1.593704
-0.010149	0.678131	0.678207	1.585761
-0.007500	0.676501	0.676542	1.581882
-0.016378	0.673990	0.674189	1.595091
-0.029729	0.668517	0.669178	1.615238
-0.045770	0.661237	0.662820	1.639905
-0.058566	0.648765	0.651403	1.660825
-0.070126	0.636961	0.640810	1.680449
-0.085416	0.623182	0.629008	1.707013
-0.098014	0.612956	0.620743	1.729358
-0.110538	0.602491	0.612547	1.752247
-0.098878	0.612347	0.620279	1.730888
-0.086949	0.621924	0.627973	1.709703
-0.073255	0.634218	0.638434	1.685791
-0.053062	0.653823	0.655972	1.651775
-0.028053	0.668947	0.669535	1.612708
-0.011934	0.675201	0.675307	1.588469
-0.010491	0.677696	0.677777	1.586276
-0.030094	0.671239	0.671913	1.615600
-0.036093	0.674193	0.675158	1.624281
-0.018072	0.678681	0.678921	1.597418
-0.018290	0.678202	0.678449	1.597758
-0.017655	0.677463	0.677693	1.596850
-0.024630	0.677471	0.677919	1.607136
-0.026347	0.671328	0.671845	1.610022
-0.043595	0.666020	0.667445	1.636159
-0.047646	0.671057	0.672746	1.641679
-0.030495	0.679248	0.679932	1.615661
-0.014563	0.680029	0.680185	1.592208
0.001322	0.680263	0.680265	1.568853
0.023341	0.680074	0.680474	1.536488
0.052292	0.676114	0.678133	1.493607
0.075176	0.667733	0.671951	1.458685
0.094114	0.652372	0.659126	1.427520
0.095495	0.644324	0.651362	1.423658
0.094764	0.639465	0.646448	1.423674
0.094595	0.636344	0.643336	1.423223
0.096325	0.636977	0.644219	1.420712
0.093184	0.628909	0.635775	1.423698
0.097228	0.635681	0.643074	1.419021
0.102474	0.651886	0.659891	1.414876
0.097498	0.666715	0.673806	1.425589
0.081196	0.667025	0.671948	1.449663
0.088522	0.670499	0.676317	1.439531
0.092928	0.658657	0.665180	1.430634
0.094160	0.665469	0.672097	1.430235
0.090448	0.673350	0.679397	1.437270
0.099520	0.650921	0.658485	1.419080
0.095652	0.653817	0.660777	1.425529
0.086563	0.661096	0.666739	1.440599
0.064461	0.672632	0.675714	1.475254
0.049432	0.676648	0.678451	1.497872
0.033058	0.680163	0.680966	1.522232
0.007844	0.681445	0.681490	1.559286
-0.007618	0.681407	0.681449	1.581975
-0.023645	0.680999	0.681409	1.605503
-0.001931	0.681459	0.681462	1.573629
0.013338	0.681354	0.681484	1.551223
0.032807	0.680040	0.680831	1.522591
0.053472	0.677594	0.679701	1.492045
0.069124	0.670336	0.673891	1.468041
0.083176	0.662898	0.668095	1.445975
0.091420	0.656135	0.662473	1.432356
0.094666	0.650590	0.657441	1.426302
0.097883	0.649953	0.657282	1.421319
0.095664	0.663489	0.670351	1.427600
0.081073	0.669688	0.674577	1.450322
0.065443	0.677422	0.680575	1.474490
0.089396	0.669047	0.674993	1.437967
0.064034	0.678676	0.681690	1.476723
0.085262	0.668012	0.673431	1.443847
0.099033	0.660979	0.668357	1.422075
0.097597	0.644254	0.651605	1.420450
0.096288	0.648352	0.655463	1.423362
0.093761	0.649507	0.656240	1.427430
0.077006	0.666999	0.671430	1.455855
0.059638	0.674235	0.676867	1.482574
0.035881	0.679399	0.680346	1.518032
0.019716	0.680599	0.680885	1.541835
0.003606	0.681335	0.681344	1.565503
0.022607	0.680451	0.680827	1.537586
0.042559	0.678634	0.679967	1.508165
0.058280	0.673877	0.676393	1.484526
0.072864	0.668647	0.672606	1.462252
0.089981	0.659017	0.665132	1.435097
0.094149	0.646952	0.653767	1.426283
0.096440	0.646369	0.653524	1.422687
0.096894	0.642618	0.649882	1.421143
0.099515	0.644494	0.652132	1.417598
0.097475	0.657773	0.664957	1.423678
0.075463	0.674614	0.678822	1.459398
0.092447	0.666343	0.672726	1.432938
0.081931	0.665472	0.670497	1.448296
0.066260	0.672998	0.676252	1.472657
0.049601	0.679740	0.681547	1.497955
0.070118	0.671197	0.674850	1.466706
0.087612	0.662853	0.668618	1.439383
0.095556	0.666227	0.673044	1.428339
0.089989	0.672484	0.678478	1.437770
0.096720	0.655024	0.662127	1.424196
0.088782	0.660006	0.665951	1.437082
