time = 1.1999	Re = 1	40	80
0.145651	0.150763	0.209628	0.802643
0.163524	0.159670	0.228549	0.773473
0.179706	0.169437	0.246988	0.755995
0.194672	0.180223	0.265288	0.746874
0.208690	0.192105	0.283647	0.744040
0.221908	0.205136	0.302198	0.746144
0.234401	0.219367	0.321039	0.752279
0.246195	0.234857	0.340250	0.761833
0.257274	0.251674	0.359903	0.774396
0.267587	0.269901	0.380065	0.789704
0.277063	0.289620	0.400804	0.807553
0.285589	0.310921	0.422176	0.827840
0.292974	0.333869	0.444188	0.850545
0.299047	0.358628	0.466950	0.875745
0.303585	0.385329	0.490553	0.903503
0.306098	0.414192	0.515025	0.934357
0.306433	0.429635	0.527719	0.951239
0.306320	0.445247	0.540442	0.968184
0.305419	0.461806	0.553666	0.986479
0.303872	0.478635	0.566948	1.005129
0.301228	0.496438	0.580680	1.025407
0.297973	0.514509	0.594565	1.045856
0.293271	0.533610	0.608891	1.068261
0.287647	0.553081	0.623410	1.091213
0.280271	0.573483	0.638306	1.116216
0.271576	0.594364	0.653469	1.142204
0.260559	0.616081	0.668915	1.170680
0.247387	0.638291	0.684555	1.201045
0.231183	0.660888	0.700156	1.234294
0.211663	0.683423	0.715450	1.270455
0.200267	0.694426	0.722728	1.290022
0.188413	0.705159	0.729897	1.309704
0.175277	0.715353	0.736514	1.330509
0.161730	0.725175	0.742991	1.351365
0.147206	0.734091	0.748705	1.372893
0.132290	0.742573	0.754265	1.394495
0.116818	0.749987	0.759031	1.416277
0.101204	0.756887	0.763623	1.437874
0.085645	0.762617	0.767411	1.458961
0.069970	0.768050	0.771230	1.479947
0.054548	0.772594	0.774517	1.500310
0.039029	0.776849	0.777829	1.520598
0.024248	0.780261	0.780638	1.539730
0.009351	0.783398	0.783454	1.558861
-0.019662	0.788393	0.788638	1.595730
-0.046620	0.792004	0.793375	1.629592
-0.072550	0.794855	0.798159	1.661819
-0.096748	0.797005	0.802856	1.691595
-0.120001	0.798960	0.807922	1.719879
-0.141397	0.800855	0.813242	1.745553
-0.162424	0.802720	0.818988	1.770443
-0.181980	0.804727	0.825046	1.793195
-0.201013	0.806934	0.831594	1.814934
-0.218962	0.809355	0.838450	1.835010
-0.236654	0.811871	0.845660	1.854430
-0.253041	0.814897	0.853280	1.871876
-0.269561	0.817756	0.861039	1.889215
-0.284667	0.821352	0.869284	1.904424
-0.299861	0.824707	0.877530	1.919532
-0.327993	0.832640	0.894912	1.946049
-0.353949	0.841617	0.913016	1.968899
-0.377643	0.851726	0.931693	1.988136
-0.398893	0.863100	0.950819	2.003719
-0.417399	0.875931	0.970298	2.015484
-0.432686	0.890504	0.990058	2.023091
