time = 25	Re = 0.5	40	80
0.427683	0.217915	-0.007237	14
0.445503	0.226995	-0.009477	15
0.463323	0.236075	-0.012119	16
0.481144	0.245155	-0.015194	17
0.498964	0.254234	-0.018734	18
0.516784	0.263314	-0.022771	19
0.534604	0.272394	-0.027336	20
0.552424	0.281474	-0.032457	21
0.570244	0.290554	-0.038162	22
0.588064	0.299633	-0.044478	23
0.605885	0.308713	-0.051428	24
0.623705	0.317793	-0.059035	25
0.641525	0.326873	-0.067320	26
0.659345	0.335953	-0.076303	27
0.677165	0.345033	-0.086002	28
0.694985	0.354112	-0.096432	29
0.712805	0.363192	-0.107611	30
0.730625	0.372272	-0.119552	31
0.748446	0.381352	-0.132271	32
0.766266	0.390432	-0.145781	33
0.784086	0.399511	-0.160099	34
0.801906	0.408591	-0.175240	35
0.819726	0.417671	-0.191220	36
0.837546	0.426751	-0.208058	37
0.855366	0.435831	-0.225771	38
0.873187	0.444910	-0.244382	39
0.891007	0.453990	-0.263914	40
5
0.170528	0.104500	0.000000	0
0.187581	0.114950	0.000040	1
0.204634	0.125400	0.000124	2
0.221687	0.135850	0.000220	3
0.238739	0.146299	0.000297	4
0.255792	0.156749	0.000324	5
0.272845	0.167199	0.000273	6
0.289898	0.177649	0.000116	7
0.306951	0.188099	-0.000178	8
0.324003	0.198549	-0.000639	9
0.341056	0.208999	-0.001297	10
0.358109	0.219449	-0.002185	11
0.375162	0.229899	-0.003336	12
0.392215	0.240349	-0.004783	13
0.409267	0.250799	-0.006562	14
0.426320	0.261249	-0.008708	15
0.443373	0.271699	-0.011255	16
0.460426	0.282149	-0.014240	17
0.477479	0.292599	-0.017697	18
0.494531	0.303049	-0.021661	19
0.511584	0.313499	-0.026164	20
0.528637	0.323949	-0.031238	21
0.545690	0.334399	-0.036914	22
0.562743	0.344849	-0.043218	23
0.579795	0.355299	-0.050176	24
0.596848	0.365749	-0.057811	25
0.613901	0.376199	-0.066143	26
0.630954	0.386649	-0.075191	27
0.648007	0.397099	-0.084971	28
0.665060	0.407549	-0.095497	29
0.682112	0.417999	-0.106781	30
0.699165	0.428448	-0.118835	31
0.716218	0.438898	-0.131670	32
0.733271	0.449348	-0.145297	33
0.750324	0.459798	-0.159726	34
0.767376	0.470248	-0.174970	35
0.784429	0.480698	-0.191041	36
0.801482	0.491148	-0.207953	37
0.818535	0.501598	-0.225724	38
0.835588	0.512048	-0.244370	39
0.852640	0.522498	-0.263914	40
6
0.161803	0.117557	0.000000	0
0.177984	0.129313	0.000042	1
0.194164	0.141068	0.000133	2
0.210344	0.152824	0.000240	3
0.226525	0.164580	0.000334	4
0.242705	0.176335	0.000387	5
0.258886	0.188091	0.000372	6
0.275066	0.199847	0.000260	7
0.291246	0.211603	0.000023	8
0.307427	0.223358	-0.000368	9
0.323607	0.235114	-0.000946	10
0.339787	0.246870	-0.001742	11
0.355968	0.258625	-0.002790	12
0.372148	0.270381	-0.004126	13
0.388328	0.282137	-0.005788	14
0.404509	0.293892	-0.007811	15
0.420689	0.305648	-0.010236	16
0.436869	0.317404	-0.013100	17
0.453050	0.329160	-0.016443	18
0.469230	0.340915	-0.020303	19
0.485410	0.352671	-0.024717	20
0.501591	0.364427	-0.029719	21
0.517771	0.376182	-0.035344	22
0.533951	0.387938	-0.041621	23
0.550132	0.399694	-0.048577	24
0.566312	0.411449	-0.056236	25
0.582492	0.423205	-0.064619	26
0.598673	0.434961	-0.073743	27
0.614853	0.446716	-0.083621	28
0.631033	0.458472	-0.094264	29
0.647214	0.470228	-0.105682	30
0.663394	0.481984	-0.117881	31
0.679575	0.493739	-0.130867	32
0.695755	0.505495	-0.144646	33
0.711935	0.517251	-0.159223	34
0.728116	0.529006	-0.174604	35
0.744296	0.540762	-0.190797	36
0.760476	0.552518	-0.207811	37
0.776657	0.564273	-0.225658	38
0.792837	0.576029	-0.244353	39
0.809017	0.587785	-0.263914	40
7
0.152081	0.129890	0.000000	0
0.167289	0.142878	0.000043	1
0.182498	0.155867	0.000138	2
0.197706	0.168856	0.000253	3
0.212914	0.181845	0.000363	4
0.228122	0.194834	0.000440	5
0.243330	0.207823	0.000458	6
0.258538	0.220812	0.000394	7
0.273746	0.233801	0.000217	8
0.288954	0.246790	-0.000099	9
0.304163	0.259779	-0.000585	10
0.319371	0.272768	-0.001275	11
0.334579	0.285757	-0.002203	12
0.349787	0.298746	-0.003405	13
