time = 8	Re = 40	40	80
0.662945	0.305621	3.340145	27
0.681107	0.313995	3.879879	28
0.699270	0.322368	4.374093	29
0.717433	0.330741	4.802934	30
0.735596	0.339114	5.153007	31
0.753759	0.347487	5.417751	32
0.771922	0.355860	5.597376	33
0.790085	0.364234	5.698553	34
0.808248	0.372607	5.734039	35
0.826410	0.380980	5.722506	36
0.844573	0.389353	5.688809	37
0.862736	0.397726	5.664998	38
0.880899	0.406100	5.692439	39
0.899062	0.414473	5.825647	40
5
0.183224	0.102610	0.005236	1
0.200674	0.112383	0.011346	2
0.218124	0.122155	0.017538	3
0.235574	0.131928	0.022970	4
0.253024	0.141700	0.027550	5
0.270474	0.151472	0.031039	6
0.287924	0.161245	0.033062	7
0.305374	0.171017	0.033229	8
0.322824	0.180790	0.031266	9
0.340274	0.190562	0.027147	10
0.357723	0.200335	0.021258	11
0.375173	0.210107	0.014568	12
0.392623	0.219879	0.008836	13
0.410073	0.229652	0.006824	14
0.427523	0.239424	0.012511	15
0.444973	0.249197	0.031280	16
0.462423	0.258969	0.069980	17
0.479873	0.268741	0.137005	18
0.497323	0.278514	0.242001	19
0.514773	0.288286	0.394982	20
0.532223	0.298059	0.603790	21
0.549673	0.307831	0.874697	22
0.567123	0.317604	1.210188	23
0.584572	0.327376	1.606686	24
0.602022	0.337148	2.054330	25
0.619472	0.346921	2.537900	26
0.636922	0.356693	3.038714	27
0.654372	0.366466	3.536764	28
0.671822	0.376238	4.012643	29
0.689272	0.386010	4.449145	30
0.706722	0.395783	4.832587	31
0.724172	0.405555	5.153892	32
0.741622	0.415328	5.409459	33
0.759072	0.425100	5.601827	34
0.776522	0.434873	5.740194	35
0.793972	0.444645	5.840886	36
0.811421	0.454417	5.927958	37
0.828871	0.464190	6.034176	38
0.846321	0.473962	6.202756	39
0.863771	0.483735	6.490368	40
6
0.174609	0.116670	0.005385	1
0.191238	0.127781	0.008923	2
0.207867	0.138892	0.013904	3
0.224497	0.150004	0.019483	4
0.241126	0.161115	0.025127	5
0.257756	0.172227	0.030172	6
0.274385	0.183338	0.033882	7
0.291014	0.194449	0.035562	8
0.307644	0.205561	0.034699	9
0.324273	0.216672	0.031114	10
0.340903	0.227784	0.025158	11
0.357532	0.238895	0.017914	12
0.374161	0.250006	0.011418	13
0.390791	0.261118	0.008852	14
0.407420	0.272229	0.014681	15
0.424050	0.283341	0.034682	16
0.440679	0.294452	0.075826	17
0.457308	0.305563	0.146066	18
0.473938	0.316675	0.253672	19
0.490567	0.327786	0.405987	20
0.507197	0.338898	0.608862	21
0.523826	0.350009	0.865763	22
0.540455	0.361120	1.176928	23
0.557085	0.372232	1.538632	24
0.573714	0.383343	1.943315	25
0.590344	0.394455	2.380174	26
0.606973	0.405566	2.836133	27
0.623602	0.416677	3.296964	28
0.640232	0.427789	3.748395	29
0.656861	0.438900	4.177169	30
0.673491	0.450012	4.572078	31
0.690120	0.461123	4.925004	32
0.706749	0.472234	5.231948	33
0.723379	0.483346	5.494035	34
0.740008	0.494457	5.718450	35
0.756638	0.505569	5.919325	36
0.773267	0.516680	6.118627	37
0.789896	0.527791	6.347207	38
0.806526	0.538903	6.646227	39
0.823155	0.550014	7.069286	40
7
0.164917	0.130010	0.005436	1
