time = 2.009000,50,100
0.2,0
0.21,0.016653
0.22,0.047586
0.24,0.076621
0.26,0.104112
0.27,0.130331
0.29,0.15549
0.3,0.179756
0.32,0.203263
0.34,0.226119
0.35,0.248412
0.37,0.270217
0.38,0.291594
0.4,0.312594
0.42,0.333261
0.43,0.353631
0.45,0.373737
0.46,0.393607
0.48,0.413262
0.5,0.432725
0.51,0.452013
0.53,0.471143
0.54,0.490127
0.56,0.508979
0.58,0.52771
0.59,0.546329
0.61,0.564845
0.62,0.583266
0.64,0.6016
0.66,0.619852
0.67,0.638029
0.69,0.656136
0.7,0.674177
0.72,0.692157
0.74,0.71008
0.75,0.72795
0.77,0.745769
0.78,0.763541
0.8,0.781269
0.82,0.798956
0.83,0.816603
0.85,0.834213
0.86,0.851788
0.88,0.86933
0.9,0.886841
0.91,0.904322
0.93,0.921775
0.94,0.939202
0.96,0.956603
0.98,0.97398
0.99,0.991334
