time = 8	Re = 0.5	40	80
0.328367	0.121141	-0.209535	8
0.347131	0.128063	-0.238908	9
0.365895	0.134986	-0.273986	10
0.384658	0.141908	-0.314350	11
0.403422	0.148830	-0.359589	12
0.422186	0.155753	-0.409234	13
0.440950	0.162675	-0.462677	14
0.459714	0.169597	-0.519091	15
0.478478	0.176520	-0.577330	16
0.497241	0.183442	-0.635821	17
0.516005	0.190364	-0.692458	18
0.534769	0.197287	-0.744534	19
0.553533	0.204209	-0.788753	20
0.572297	0.211131	-0.821392	21
0.591061	0.218054	-0.838732	22
0.609824	0.224976	-0.837877	23
0.628588	0.231898	-0.817893	24
0.647352	0.238821	-0.780928	25
0.666116	0.245743	-0.732248	26
0.684880	0.252665	-0.677937	27
0.703644	0.259588	-0.623225	28
0.722407	0.266510	-0.571894	29
0.741171	0.273432	-0.526348	30
0.759935	0.280355	-0.487933	31
0.778699	0.287277	-0.457274	32
0.797463	0.294199	-0.434558	33
0.816227	0.301122	-0.419737	34
0.834990	0.308044	-0.412654	35
0.853754	0.314966	-0.413125	36
0.872518	0.321889	-0.420975	37
0.891282	0.328811	-0.436042	38
0.910046	0.335733	-0.458167	39
0.928810	0.342656	-0.487155	40
0.947573	0.349578	-0.487155	41
4
0.172547	0.079545	-0.220494	0
0.190710	0.087918	-0.220494	1
0.208873	0.096292	-0.178264	2
0.227036	0.104665	-0.154251	3
0.245199	0.113038	-0.143011	4
0.263362	0.121411	-0.141372	5
0.281524	0.129784	-0.147380	6
0.299687	0.138158	-0.159771	7
0.317850	0.146531	-0.177678	8
0.336013	0.154904	-0.200468	9
0.354176	0.163277	-0.227639	10
0.372339	0.171650	-0.258740	11
0.390502	0.180024	-0.293315	12
0.408664	0.188397	-0.330841	13
0.426827	0.196770	-0.370670	14
0.444990	0.205143	-0.411983	15
0.463153	0.213516	-0.453730	16
0.481316	0.221889	-0.494593	17
0.499479	0.230263	-0.532967	18
0.517642	0.238636	-0.566986	19
0.535805	0.247009	-0.594618	20
0.553967	0.255382	-0.613856	21
0.572130	0.263755	-0.623009	22
0.590293	0.272129	-0.621098	23
0.608456	0.280502	-0.608246	24
0.626619	0.288875	-0.585888	25
0.644782	0.297248	-0.556571	26
0.662945	0.305621	-0.523293	27
0.681107	0.313995	-0.488895	28
0.699270	0.322368	-0.455710	29
0.717433	0.330741	-0.425459	30
0.735596	0.339114	-0.399305	31
0.753759	0.347487	-0.377960	32
0.771922	0.355860	-0.361806	33
0.790085	0.364234	-0.351004	34
0.808248	0.372607	-0.345564	35
0.826410	0.380980	-0.345407	36
0.844573	0.389353	-0.350384	37
0.862736	0.397726	-0.360286	38
0.880899	0.406100	-0.374838	39
0.899062	0.414473	-0.393665	40
0.917225	0.422846	-0.393665	41
5
0.165774	0.092838	-0.176640	0
0.183224	0.102610	-0.176640	1
0.200674	0.112383	-0.142951	2
0.218124	0.122155	-0.123606	3
0.235574	0.131928	-0.114268	4
0.253024	0.141700	-0.112341	5
0.270474	0.151472	-0.116215	6
0.287924	0.161245	-0.124846	7
0.305374	0.171017	-0.137519	8
0.322824	0.180790	-0.153706	9
0.340274	0.190562	-0.172979	10
0.357723	0.200335	-0.194948	11
0.375173	0.210107	-0.219211	12
0.392623	0.219879	-0.245311	13
0.410073	0.229652	-0.272709	14
0.427523	0.239424	-0.300746	15
0.444973	0.249197	-0.328625	16
0.462423	0.258969	-0.355404	17
0.479873	0.268741	-0.380007	18
0.497323	0.278514	-0.401272	19
0.514773	0.288286	-0.418040	20
0.532223	0.298059	-0.429278	21
0.549673	0.307831	-0.434233	22
0.567123	0.317604	-0.432605	23
0.584572	0.327376	-0.424667	24
0.602022	0.337148	-0.411284	25
0.619472	0.346921	-0.393788	26
0.636922	0.356693	-0.373738	27
0.654372	0.366466	-0.352675	28
0.671822	0.376238	-0.331954	29
0.689272	0.386010	-0.312655	30
0.706722	0.395783	-0.295578	31
0.724172	0.405555	-0.281266	32
0.741622	0.415328	-0.270052	33
0.759072	0.425100	-0.262107	34
0.776522	0.434873	-0.257477	35
