time = 8	Re = 0.5	40	80
0.450332	0.166136	0.017232	14
0.469096	0.173058	0.015558	15
0.487860	0.179981	0.013058	16
0.506623	0.186903	0.009711	17
0.525387	0.193825	0.005540	18
0.544151	0.200748	0.000637	19
0.562915	0.207670	-0.004826	20
0.581679	0.214592	-0.010586	21
0.600443	0.221515	-0.016295	22
0.619206	0.228437	-0.021545	23
0.637970	0.235359	-0.025930	24
0.656734	0.242282	-0.029128	25
0.675498	0.249204	-0.030979	26
0.694262	0.256126	-0.031486	27
0.713025	0.263049	-0.030772	28
0.731789	0.269971	-0.029035	29
0.750553	0.276893	-0.026500	30
0.769317	0.283816	-0.023396	31
0.788081	0.290738	-0.019941	32
0.806845	0.297660	-0.016334	33
0.825608	0.304583	-0.012756	34
0.844372	0.311505	-0.009367	35
0.863136	0.318427	-0.006315	36
0.881900	0.325350	-0.003733	37
0.900664	0.332272	-0.001745	38
0.919428	0.339194	-0.000465	39
0.938191	0.346117	0.000000	40
0.956955	0.353039	0.000000	41
4
0.181629	0.083732	0.000000	0
0.199792	0.092105	0.000634	1
0.217954	0.100478	0.001933	2
0.236117	0.108851	0.003563	3
0.254280	0.117225	0.005350	4
0.272443	0.125598	0.007184	5
0.290606	0.133971	0.008984	6
0.308769	0.142344	0.010677	7
0.326932	0.150717	0.012192	8
0.345094	0.159091	0.013458	9
0.363257	0.167464	0.014403	10
0.381420	0.175837	0.014957	11
0.399583	0.184210	0.015049	12
0.417746	0.192583	0.014617	13
0.435909	0.200957	0.013610	14
0.454072	0.209330	0.011991	15
0.472235	0.217703	0.009753	16
0.490397	0.226076	0.006916	17
0.508560	0.234449	0.003543	18
0.526723	0.242822	-0.000257	19
0.544886	0.251196	-0.004328	20
0.563049	0.259569	-0.008468	21
0.581212	0.267942	-0.012442	22
0.599375	0.276315	-0.016008	23
0.617537	0.284688	-0.018942	24
0.635700	0.293062	-0.021078	25
0.653863	0.301435	-0.022327	26
0.672026	0.309808	-0.022684	27
0.690189	0.318181	-0.022211	28
0.708352	0.326554	-0.021018	29
0.726515	0.334928	-0.019245	30
0.744678	0.343301	-0.017042	31
0.762840	0.351674	-0.014560	32
0.781003	0.360047	-0.011944	33
0.799166	0.368420	-0.009331	34
0.817329	0.376793	-0.006846	35
0.835492	0.385167	-0.004605	36
0.853655	0.393540	-0.002712	37
0.871818	0.401913	-0.001260	38
0.889980	0.410286	-0.000333	39
0.908143	0.418659	0.000000	40
0.926306	0.427033	0.000000	41
5
0.174499	0.097724	0.000000	0
0.191949	0.107497	0.000501	1
0.209399	0.117269	0.001525	2
0.226849	0.127041	0.002800	3
0.244299	0.136814	0.004184	4
0.261749	0.146586	0.005588	5
0.279199	0.156359	0.006947	6
0.296649	0.166131	0.008202	7
0.314099	0.175904	0.009298	8
0.331549	0.185676	0.010182	9
0.348998	0.195448	0.010801	10
0.366448	0.205221	0.011105	11
0.383898	0.214993	0.011050	12
0.401348	0.224766	0.010597	13
0.418798	0.234538	0.009723	14
0.436248	0.244310	0.008419	15
0.453698	0.254083	0.006695	16
0.471148	0.263855	0.004587	17
0.488598	0.273628	0.002157	18
0.506048	0.283400	-0.000505	19
0.523498	0.293173	-0.003285	20
0.540948	0.302945	-0.006046	21
0.558398	0.312717	-0.008643	22
0.575848	0.322490	-0.010936	23
0.593297	0.332262	-0.012802	24
0.610747	0.342035	-0.014151	25
0.628197	0.351807	-0.014937	26
0.645647	0.361579	-0.015155	27
0.663097	0.371352	-0.014841	28
0.680547	0.381124	-0.014057	29
0.697997	0.390897	-0.012887	30
0.715447	0.400669	-0.011425	31
0.732897	0.410442	-0.009769	32
0.750347	0.420214	-0.008015	33
0.767797	0.429986	-0.006259	34
0.785247	0.439759	-0.004586	35
0.802697	0.449531	-0.003078	36
0.820146	0.459304	-0.001806	37
0.837596	0.469076	-0.000835	38
0.855046	0.478848	-0.000219	39
0.872496	0.488621	0.000000	40
0.889946	0.498393	0.000000	41
6
0.166294	0.111114	0.000000	0
0.182923	0.122225	0.000320	1
0.199553	0.133337	0.000972	2
0.216182	0.144448	0.001781	3
0.232812	0.155560	0.002653	4
0.249441	0.166671	0.003531	5
0.266070	0.177782	0.004372	6
0.282700	0.188894	0.005139	7
0.299329	0.200005	0.005797	8
0.315959	0.211117	0.006314	9
0.332588	0.222228	0.006658	10
0.349217	0.233339	0.006799	11
0.365847	0.244451	0.006714	12
0.382476	0.255562	0.006384	13
0.399106	0.266674	0.005800	14
0.415735	0.277785	0.004963	15
0.432364	0.288896	0.003886	16
0.448994	0.300008	0.002598	17
0.465623	0.311119	0.001140	18
0.482253	0.322230	-0.000429	19
0.498882	0.333342	-0.002042	20
0.515511	0.344453	-0.003622	21
0.532141	0.355565	-0.005090	22
0.548770	0.366676	-0.006373	23
0.565400	0.377787	-0.007409	24
0.582029	0.388899	-0.008153	25
0.598658	0.400010	-0.008583	26
0.615288	0.411122	-0.008697	27
0.631917	0.422233	-0.008512	28
0.648547	0.433344	-0.008063	29
0.665176	0.444456	-0.007394	30
0.681805	0.455567	-0.006558	31
0.698435	0.466679	-0.005608	32
0.715064	0.477790	-0.004600	33
0.731694	0.488901	-0.003590	34
0.748323	0.500013	-0.002627	35
0.764952	0.511124	-0.001760	36
0.781582	0.522236	-0.001030	37
0.798211	0.533347	-0.000475	38
0.814840	0.544458	-0.000124	39
0.831470	0.555570	0.000000	40
0.848099	0.566681	0.000000	41
7
0.157063	0.123819	0.000000	0
0.172770	0.136201	0.000110	1
0.188476	0.148582	0.000333	2
0.204182	0.160964	0.000610	3
0.219889	0.173346	0.000907	4
