time = 2.008000	60	120
0.19	0.000000
0.21	0.000000
0.22	0.000000
0.23	0.000000
0.25	0.000000
0.26	0.000000
0.27	0.000000
0.29	0.000000
0.30	0.000000
0.31	0.000000
0.33	0.000000
0.34	0.000000
0.35	0.000000
0.37	0.000000
0.38	0.000000
0.39	0.000000
0.41	0.000000
0.42	0.000000
0.43	0.0
0.45	0.022776
0.46	0.066522
0.47	0.108587
0.49	0.149082
0.50	0.188106
0.51	0.225744
0.53	0.262072
0.54	0.297157
0.55	0.331060
0.57	0.363836
0.58	0.395535
0.59	0.426202
0.61	0.455879
0.62	0.484604
0.63	0.512412
0.65	0.539336
0.66	0.565405
0.67	0.590649
0.69	0.615092
0.70	0.638759
0.71	0.661672
0.73	0.683851
0.74	0.705316
0.75	0.726085
0.77	0.746174
0.78	0.765598
0.79	0.784372
0.81	0.802509
0.82	0.820022
0.83	0.836921
0.85	0.853218
0.86	0.868922
0.87	0.884043
0.89	0.898589
0.90	0.912568
0.91	0.925988
0.93	0.938857
0.94	0.951180
0.95	0.962966
0.97	0.974219
0.98	0.984946
0.99	0.995153
