Re = 50
0.191621	0.012056	-0.004099
0.207590	0.013060	0.004099
0.223558	0.014065	0.012215
0.239526	0.015070	0.020453
0.255495	0.016074	0.028953
0.271463	0.017079	0.037812
0.287432	0.018084	0.047100
0.303400	0.019088	0.056865
0.319369	0.020093	0.067140
0.335337	0.021098	0.077952
0.351305	0.022102	0.089314
0.367274	0.023107	0.101239
0.383242	0.024112	0.113732
0.399211	0.025116	0.126796
0.415179	0.026121	0.140433
0.431148	0.027125	0.154640
0.447116	0.028130	0.169417
0.463084	0.029135	0.184762
0.479053	0.030139	0.200672
0.495021	0.031144	0.217144
0.510990	0.032149	0.234178
0.526958	0.033153	0.251770
0.542927	0.034158	0.269920
0.558895	0.035163	0.288627
0.574863	0.036167	0.307888
0.590832	0.037172	0.327704
0.606800	0.038177	0.348072
0.622769	0.039181	0.368991
0.638737	0.040186	0.390458
0.654706	0.041191	0.412470
0.670674	0.042195	0.435023
0.686642	0.043200	0.458112
0.702611	0.044204	0.481731
0.718579	0.045209	0.505872
0.734548	0.046214	0.530528
0.750516	0.047218	0.555688
0.766485	0.048223	0.581342
0.782453	0.049228	0.607477
0.798421	0.050232	0.634081
0.814390	0.051237	0.661141
0.830358	0.052242	0.688640
0.846327	0.053246	0.716564
0.862295	0.054251	0.744897
0.878264	0.055256	0.773622
0.894232	0.056260	0.802725
0.910200	0.057265	0.832187
0.926169	0.058270	0.861993
0.942137	0.059274	0.892128
0.958106	0.060279	0.922575
0.974074	0.061283	0.953321
0.990043	0.062288	0.984350
1.006011	0.063293	1.015650
0.190486	0.024064	-0.003941
0.206360	0.026069	0.003941
0.222234	0.028075	0.011782
0.238108	0.030080	0.019792
0.253981	0.032085	0.028112
0.269855	0.034091	0.036838
0.285729	0.036096	0.046035
0.301603	0.038101	0.055750
0.317477	0.040107	0.066013
0.333351	0.042112	0.076846
0.349224	0.044117	0.088260
0.365098	0.046123	0.100262
0.380972	0.048128	0.112854
0.396846	0.050133	0.126033
0.412720	0.052139	0.139798
0.428594	0.054144	0.154141
0.444467	0.056149	0.169059
0.460341	0.058155	0.184543
0.476215	0.060160	0.200590
0.492089	0.062165	0.217193
0.507963	0.064171	0.234349
0.523837	0.066176	0.252053
0.539710	0.068181	0.270302
0.555584	0.070187	0.289095
0.571458	0.072192	0.308430
0.587332	0.074197	0.328305
0.603206	0.076203	0.348718
0.619080	0.078208	0.369670
0.634953	0.080213	0.391157
0.650827	0.082219	0.413178
0.666701	0.084224	0.435729
0.682575	0.086229	0.458807
0.698449	0.088235	0.482406
0.714323	0.090240	0.506521
0.730196	0.092245	0.531144
0.746070	0.094251	0.556267
0.761944	0.096256	0.581881
0.777818	0.098261	0.607973
0.793692	0.100267	0.634533
0.809566	0.102272	0.661547
0.825439	0.104277	0.689002
0.841313	0.106282	0.716882
0.857187	0.108288	0.745173
0.873061	0.110293	0.773858
0.888935	0.112298	0.802922
0.904809	0.114304	0.832349
0.920682	0.116309	0.862123
0.936556	0.118314	0.892227
0.952430	0.120320	0.922645
0.968304	0.122325	0.953363
0.984178	0.124330	0.984365
1.000052	0.126336	1.015635
0.188599	0.035977	-0.003752
0.204316	0.038975	0.003752
0.220032	0.041973	0.011269
0.235749	0.044971	0.019011
0.251466	0.047970	0.027118
0.267182	0.050968	0.035683
0.282899	0.053966	0.044771
0.298615	0.056964	0.054423
0.314332	0.059962	0.064667
0.330049	0.062960	0.075521
0.345765	0.065958	0.086992
0.361482	0.068956	0.099081
0.377198	0.071954	0.111787
0.392915	0.074952	0.125102
0.408632	0.077951	0.139018
0.424348	0.080949	0.153523
0.440065	0.083947	0.168607
0.455781	0.086945	0.184260
0.471498	0.089943	0.200471
0.487214	0.092941	0.217232
0.502931	0.095939	0.234535
0.518648	0.098937	0.252374
0.534364	0.101935	0.270744
0.550081	0.104933	0.289641
0.565797	0.107932	0.309064
0.581514	0.110930	0.329011
0.597231	0.113928	0.349481
0.612947	0.116926	0.370473
0.628664	0.119924	0.391986
0.644380	0.122922	0.414018
0.660097	0.125920	0.436569
0.675814	0.128918	0.459636
0.691530	0.131916	0.483214
0.707247	0.134914	0.507300
0.722963	0.137913	0.531887
0.738680	0.140911	0.556969
0.754397	0.143909	0.582536
0.770113	0.146907	0.608580
0.785830	0.149905	0.635089
0.801546	0.152903	0.662051
0.817263	0.155901	0.689454
0.832980	0.158899	0.717283
0.848696	0.161897	0.745524
0.864413	0.164895	0.774162
0.880129	0.167894	0.803180
0.895846	0.170892	0.832564
0.911563	0.173890	0.862296
0.927279	0.176888	0.892360
0.942996	0.179886	0.922741
0.958712	0.182884	0.953421
0.974429	0.185882	0.984385
0.990146	0.188880	1.015615
0.185968	0.047748	-0.003529
0.201465	0.051727	0.003529
0.216963	0.055706	0.010666
0.232460	0.059686	0.018095
0.247957	0.063665	0.025952
0.263455	0.067644	0.034327
0.278952	0.071623	0.043281
0.294449	0.075602	0.052853
0.309947	0.079581	0.063068
0.325444	0.083560	0.073940
0.340941	0.087539	0.085471
0.356439	0.091518	0.097660
0.371936	0.095497	0.110497
0.387433	0.099476	0.123970
0.402931	0.103455	0.138064
0.418428	0.107434	0.152761
0.433925	0.111413	0.168045
0.449423	0.115392	0.183900
0.464920	0.119371	0.200309
0.480417	0.123350	0.217260
0.495915	0.127329	0.234741
0.511412	0.131308	0.252742
0.526909	0.135287	0.271257
0.542407	0.139266	0.290282
0.557904	0.143245	0.309812
0.573401	0.147224	0.329846
0.588899	0.151203	0.350383
0.604396	0.155182	0.371424
0.619893	0.159161	0.392968
0.635391	0.163140	0.415017
