time = 12.001	Re = 0.5	40	80
0.452701	0.187515	0.053667	15
0.471179	0.195168	0.071158	16
0.489656	0.202822	0.090422	17
0.508134	0.210476	0.111453	18
0.526611	0.218129	0.134242	19
0.545089	0.225783	0.158770	20
0.563567	0.233437	0.185015	21
0.582044	0.241090	0.212947	22
0.600522	0.248744	0.242533	23
0.618999	0.256398	0.273736	24
0.637477	0.264051	0.306518	25
0.655955	0.271705	0.340842	26
0.674432	0.279359	0.376670	27
0.692910	0.287012	0.413968	28
0.711387	0.294666	0.452708	29
0.729865	0.302320	0.492865	30
0.748343	0.309973	0.534423	31
0.766820	0.317627	0.577370	32
0.785298	0.325281	0.621703	33
0.803775	0.332934	0.667427	34
0.822253	0.340588	0.714551	35
0.840730	0.348242	0.763093	36
0.859208	0.355895	0.813077	37
0.877686	0.363549	0.864529	38
0.896163	0.371203	0.917482	39
0.914641	0.378856	0.971970	40
0.933118	0.386510	1.028030	41
4
0.169291	0.086258	0.005502	0
0.187111	0.095338	-0.005502	1
0.204932	0.104418	-0.013590	2
0.222752	0.113498	-0.019291	3
0.240572	0.122577	-0.022926	4
0.258392	0.131657	-0.024687	5
0.276212	0.140737	-0.024686	6
0.294032	0.149817	-0.022983	7
0.311852	0.158897	-0.019604	8
0.329672	0.167976	-0.014554	9
0.347493	0.177056	-0.007820	10
0.365313	0.186136	0.000620	11
0.383133	0.195216	0.010792	12
0.400953	0.204296	0.022723	13
0.418773	0.213375	0.036442	14
0.436593	0.222455	0.051970	15
0.454413	0.231535	0.069325	16
0.472234	0.240615	0.088516	17
0.490054	0.249695	0.109545	18
0.507874	0.258774	0.132403	19
0.525694	0.267854	0.157072	20
0.543514	0.276934	0.183523	21
0.561334	0.286014	0.211722	22
0.579154	0.295094	0.241622	23
0.596974	0.304173	0.273176	24
0.614795	0.313253	0.306329	25
0.632615	0.322333	0.341028	26
0.650435	0.331413	0.377220	27
0.668255	0.340493	0.414855	28
0.686075	0.349572	0.453891	29
0.703895	0.358652	0.494290	30
0.721715	0.367732	0.536027	31
0.739536	0.376812	0.579082	32
0.757356	0.385892	0.623449	33
0.775176	0.394971	0.669130	34
0.792996	0.404051	0.716138	35
0.810816	0.413131	0.764496	36
0.828636	0.422211	0.814235	37
0.846456	0.431291	0.865393	38
0.864277	0.440370	0.918015	39
0.882097	0.449450	0.972150	40
0.899917	0.458530	1.027850	41
5
0.162002	0.099275	0.005272	0
0.179054	0.109725	-0.005272	1
0.196107	0.120175	-0.013018	2
0.213160	0.130625	-0.018507	3
0.230213	0.141075	-0.022054	4
0.247266	0.151524	-0.023841	5
0.264319	0.161974	-0.023967	6
0.281371	0.172424	-0.022479	7
0.298424	0.182874	-0.019386	8
0.315477	0.193324	-0.014675	9
0.332530	0.203774	-0.008317	10
0.349583	0.214224	-0.000273	11
0.366635	0.224674	0.009504	12
0.383688	0.235124	0.021060	13
0.400741	0.245574	0.034440	14
0.417794	0.256024	0.049685	15
0.434847	0.266474	0.066828	16
0.451899	0.276924	0.085891	17
0.468952	0.287374	0.106886	18
0.486005	0.297824	0.129809	19
0.503058	0.308274	0.154644	20
0.520111	0.318724	0.181359	21
0.537163	0.329174	0.209909	22
0.554216	0.339624	0.240236	23
0.571269	0.350074	0.272273	24
0.588322	0.360524	0.305946	25
0.605375	0.370974	0.341178	26
0.622427	0.381424	0.377893	27
0.639480	0.391874	0.416018	28
0.656533	0.402324	0.455489	29
0.673586	0.412774	0.496251	30
0.690639	0.423224	0.538262	31
0.707692	0.433673	0.581492	32
0.724744	0.444123	0.625926	33
0.741797	0.454573	0.671566	34
0.758850	0.465023	0.718425	35
0.775903	0.475473	0.766532	36
0.792956	0.485923	0.815928	37
0.810008	0.496373	0.866665	38
0.827061	0.506823	0.918806	39
0.844114	0.517273	0.972419	40
0.861167	0.527723	1.027581	41
6
0.153713	0.111679	0.004972	0
0.169894	0.123435	-0.004972	1
0.186074	0.135191	-0.012283	2
0.202254	0.146946	-0.017502	3
0.218435	0.158702	-0.020932	4
0.234615	0.170458	-0.022742	5
0.250795	0.182213	-0.023017	6
0.266976	0.193969	-0.021786	7
0.283156	0.205725	-0.019044	8
0.299336	0.217480	-0.014760	9
0.315517	0.229236	-0.008884	10
0.331697	0.240992	-0.001355	11
0.347877	0.252747	0.007896	12
0.364058	0.264503	0.018939	13
0.380238	0.276259	0.031845	14
0.396418	0.288015	0.046678	15
0.412599	0.299770	0.063495	16
0.428779	0.311526	0.082338	17
0.444960	0.323282	0.103237	18
0.461140	0.335037	0.126200	19
0.477320	0.346793	0.151216	20
0.493501	0.358549	0.178252	21
0.509681	0.370304	0.207253	22
0.525861	0.382060	0.238147	23
0.542042	0.393816	0.270840	24
0.558222	0.405572	0.305232	25
0.574402	0.417327	0.341213	26
0.590583	0.429083	0.378672	27
0.606763	0.440839	0.417502	28
0.622943	0.452594	0.457607	29
0.639124	0.464350	0.498905	30
0.655304	0.476106	0.541330	31
0.671484	0.487861	0.584835	32
0.687665	0.499617	0.629394	33
0.703845	0.511373	0.675001	34
0.720025	0.523128	0.721673	35
0.736206	0.534884	0.769444	36
0.752386	0.546640	0.818368	37
0.768566	0.558396	0.868513	38
0.784747	0.570151	0.919965	39
0.800927	0.581907	0.972819	40
0.817107	0.593663	1.027181	41
7
0.144477	0.123395	0.004592	0
0.159685	0.136384	-0.004592	1
0.174893	0.149373	-0.011362	2
0.190102	0.162362	-0.016243	3
0.205310	0.175351	-0.019518	4
0.220518	0.188340	-0.021340	5
0.235726	0.201329	-0.021777	6
0.250934	0.214318	-0.020845	7
0.266142	0.227307	-0.018520	8
0.281350	0.240296	-0.014754	9
0.296558	0.253285	-0.009477	10
0.311767	0.266274	-0.002603	11
0.326975	0.279262	0.005962	12
0.342183	0.292251	0.016319	13
0.357391	0.305240	0.028569	14
0.372599	0.318229	0.042811	15
0.387807	0.331218	0.059134	16
0.403015	0.344207	0.077613	17
0.418223	0.357196	0.098305	18
0.433432	0.370185	0.121242	19
0.448640	0.383174	0.146427	20
0.463848	0.396163	0.173833	21
0.479056	0.409152	0.203397	22
0.494264	0.422141	0.235027	23
0.509472	0.435130	0.268602	24
0.524680	0.448119	0.303979	25
0.539889	0.461108	0.341001	26
0.555097	0.474097	0.379507	27
0.570305	0.487086	0.419342	28
0.585513	0.500075	0.460362	29
0.600721	0.513064	0.502442	30
0.615929	0.526053	0.545483	31
0.631137	0.539042	0.589411	32
0.646345	0.552030	0.634184	33
0.661554	0.565019	0.679785	34
0.676762	0.578008	0.726230	35
0.691970	0.590997	0.773558	36
0.707178	0.603986	0.821839	37
0.722386	0.616975	0.871161	38
0.737594	0.629964	0.921639	39
0.752802	0.642953	0.973402	40
0.768010	0.655942	1.026598	41
8
0.134350	0.134350	0.004124	0
0.148493	0.148492	-0.004124	1
0.162635	0.162634	-0.010240	2
0.176777	0.176777	-0.014706	3
0.190919	0.190919	-0.017780	4
0.205061	0.205061	-0.019590	5
0.219203	0.219203	-0.020191	6
0.233345	0.233345	-0.019584	7
0.247488	0.247487	-0.017734	8
