time = 12.001	Re = 0.5	40	80
0.463323	0.236075	-0.000403	16
0.481144	0.245155	-0.002177	17
0.498964	0.254234	-0.004372	18
0.516784	0.263314	-0.007023	19
0.534604	0.272394	-0.010169	20
0.552424	0.281474	-0.013843	21
0.570244	0.290554	-0.018081	22
0.588064	0.299633	-0.022917	23
0.605885	0.308713	-0.028385	24
0.623705	0.317793	-0.034515	25
0.641525	0.326873	-0.041339	26
0.659345	0.335953	-0.048888	27
0.677165	0.345033	-0.057189	28
0.694985	0.354112	-0.066270	29
0.712805	0.363192	-0.076160	30
0.730625	0.372272	-0.086884	31
0.748446	0.381352	-0.098470	32
0.766266	0.390432	-0.110943	33
0.784086	0.399511	-0.124329	34
0.801906	0.408591	-0.138656	35
0.819726	0.417671	-0.153949	36
0.837546	0.426751	-0.170238	37
0.855366	0.435831	-0.187549	38
0.873187	0.444910	-0.205913	39
0.891007	0.453990	-0.225359	40
5
0.170528	0.104500	0.000000	0
0.187581	0.114950	0.000097	1
0.204634	0.125400	0.000350	2
0.221687	0.135850	0.000714	3
0.238739	0.146299	0.001149	4
0.255792	0.156749	0.001620	5
0.272845	0.167199	0.002094	6
0.289898	0.177649	0.002539	7
0.306951	0.188099	0.002922	8
0.324003	0.198549	0.003211	9
0.341056	0.208999	0.003374	10
0.358109	0.219449	0.003375	11
0.375162	0.229899	0.003181	12
0.392215	0.240349	0.002756	13
0.409267	0.250799	0.002064	14
0.426320	0.261249	0.001067	15
0.443373	0.271699	-0.000273	16
0.460426	0.282149	-0.001995	17
0.477479	0.292599	-0.004136	18
0.494531	0.303049	-0.006736	19
0.511584	0.313499	-0.009832	20
0.528637	0.323949	-0.013463	21
0.545690	0.334399	-0.017665	22
0.562743	0.344849	-0.022473	23
0.579795	0.355299	-0.027922	24
0.596848	0.365749	-0.034045	25
0.613901	0.376199	-0.040873	26
0.630954	0.386649	-0.048434	27
0.648007	0.397099	-0.056759	28
0.665060	0.407549	-0.065872	29
0.682112	0.417999	-0.075801	30
0.699165	0.428448	-0.086570	31
0.716218	0.438898	-0.098204	32
0.733271	0.449348	-0.110726	33
0.750324	0.459798	-0.124162	34
0.767376	0.470248	-0.138534	35
0.784429	0.480698	-0.153868	36
0.801482	0.491148	-0.170191	37
0.818535	0.501598	-0.187528	38
0.835588	0.512048	-0.205907	39
0.852640	0.522498	-0.225359	40
6
0.161803	0.117557	0.000000	0
0.177984	0.129313	0.000091	1
0.194164	0.141068	0.000329	2
0.210344	0.152824	0.000672	3
0.226525	0.164580	0.001085	4
0.242705	0.176335	0.001534	5
0.258886	0.188091	0.001989	6
0.275066	0.199847	0.002419	7
0.291246	0.211603	0.002796	8
0.307427	0.223358	0.003087	9
0.323607	0.235114	0.003260	10
0.339787	0.246870	0.003284	11
0.355968	0.258625	0.003122	12
0.372148	0.270381	0.002740	13
0.388328	0.282137	0.002100	14
0.404509	0.293892	0.001163	15
0.420689	0.305648	-0.000110	16
0.436869	0.317404	-0.001760	17
0.453050	0.329160	-0.003828	18
0.469230	0.340915	-0.006355	19
0.485410	0.352671	-0.009383	20
0.501591	0.364427	-0.012952	21
0.517771	0.376182	-0.017100	22
0.533951	0.387938	-0.021867	23
0.550132	0.399694	-0.027287	24
0.566312	0.411449	-0.033396	25
0.582492	0.423205	-0.040224	26
0.598673	0.434961	-0.047801	27
0.614853	0.446716	-0.056155	28
0.631033	0.458472	-0.065311	29
0.647214	0.470228	-0.075294	30
0.663394	0.481984	-0.086124	31
0.679575	0.493739	-0.097825	32
0.695755	0.505495	-0.110417	33
0.711935	0.517251	-0.123921	34
0.728116	0.529006	-0.138358	35
0.744296	0.540762	-0.153751	36
0.760476	0.552518	-0.170122	37
0.776657	0.564273	-0.187496	38
0.792837	0.576029	-0.205899	39
0.809017	0.587785	-0.225359	40
7
0.152081	0.129890	0.000000	0
0.167289	0.142878	0.000083	1
0.182498	0.155867	0.000302	2
0.197706	0.168856	0.000620	3
0.212914	0.181845	0.001004	4
0.228122	0.194834	0.001425	5
0.243330	0.207823	0.001855	6
0.258538	0.220812	0.002267	7
0.273746	0.233801	0.002632	8
0.288954	0.246790	0.002923	9
0.304163	0.259779	0.003109	10
0.319371	0.272768	0.003158	11
0.334579	0.285757	0.003035	12
0.349787	0.298746	0.002706	13
0.364995	0.311735	0.002131	14
0.380203	0.324724	0.001272	15
0.395411	0.337713	0.000087	16
0.410619	0.350702	-0.001469	17
0.425828	0.363691	-0.003438	18
0.441036	0.376680	-0.005866	19
0.456244	0.389669	-0.008797	20
0.471452	0.402658	-0.012277	21
0.486660	0.415646	-0.016349	22
0.501868	0.428635	-0.021053	23
0.517076	0.441624	-0.026428	24
0.532284	0.454613	-0.032512	25
0.547493	0.467602	-0.039335	26
0.562701	0.480591	-0.046930	27
