time = 12.001	Re = 0.5	40	80
0.469096	0.173058	0.001214	15
0.487860	0.179981	0.001813	16
0.506623	0.186903	0.002386	17
0.525387	0.193825	0.002912	18
0.544151	0.200748	0.003375	19
0.562915	0.207670	0.003760	20
0.581679	0.214592	0.004056	21
0.600443	0.221515	0.004255	22
0.619206	0.228437	0.004354	23
0.637970	0.235359	0.004354	24
0.656734	0.242282	0.004260	25
0.675498	0.249204	0.004078	26
0.694262	0.256126	0.003820	27
0.713025	0.263049	0.003499	28
0.731789	0.269971	0.003130	29
0.750553	0.276893	0.002728	30
0.769317	0.283816	0.002311	31
0.788081	0.290738	0.001893	32
0.806845	0.297660	0.001491	33
0.825608	0.304583	0.001118	34
0.844372	0.311505	0.000787	35
0.863136	0.318427	0.000506	36
0.881900	0.325350	0.000284	37
0.900664	0.332272	0.000125	38
0.919428	0.339194	0.000031	39
0.938191	0.346117	0.000000	40
0.956955	0.353039	0.000000	41
4
0.181629	0.083732	0.000000	0
0.199792	0.092105	-0.000200	1
0.217954	0.100478	-0.000645	2
0.236117	0.108851	-0.001182	3
0.254280	0.117225	-0.001701	4
0.272443	0.125598	-0.002130	5
0.290606	0.133971	-0.002422	6
0.308769	0.142344	-0.002552	7
0.326932	0.150717	-0.002510	8
0.345094	0.159091	-0.002295	9
0.363257	0.167464	-0.001919	10
0.381420	0.175837	-0.001400	11
0.399583	0.184210	-0.000759	12
0.417746	0.192583	-0.000024	13
0.435909	0.200957	0.000776	14
0.454072	0.209330	0.001609	15
0.472235	0.217703	0.002445	16
0.490397	0.226076	0.003253	17
0.508560	0.234449	0.004005	18
0.526723	0.242822	0.004674	19
0.544886	0.251196	0.005239	20
0.563049	0.259569	0.005683	21
0.581212	0.267942	0.005992	22
0.599375	0.276315	0.006162	23
0.617537	0.284688	0.006191	24
0.635700	0.293062	0.006083	25
0.653863	0.301435	0.005848	26
0.672026	0.309808	0.005500	27
0.690189	0.318181	0.005058	28
0.708352	0.326554	0.004543	29
0.726515	0.334928	0.003975	30
0.744678	0.343301	0.003380	31
0.762840	0.351674	0.002781	32
0.781003	0.360047	0.002199	33
0.799166	0.368420	0.001657	34
0.817329	0.376793	0.001171	35
0.835492	0.385167	0.000757	36
0.853655	0.393540	0.000427	37
0.871818	0.401913	0.000189	38
0.889980	0.410286	0.000047	39
0.908143	0.418659	0.000000	40
0.926306	0.427033	0.000000	41
5
0.174499	0.097724	0.000000	0
0.191949	0.107497	-0.000267	1
