time = 8	Re = 1	40	80
0.498964	0.254234	0.002335	18
0.516784	0.263314	0.001273	19
0.534604	0.272394	-0.000202	20
0.552424	0.281474	-0.002157	21
0.570244	0.290554	-0.004662	22
0.588064	0.299633	-0.007787	23
0.605885	0.308713	-0.011600	24
0.623705	0.317793	-0.016163	25
0.641525	0.326873	-0.021532	26
0.659345	0.335953	-0.027754	27
0.677165	0.345033	-0.034871	28
0.694985	0.354112	-0.042914	29
0.712805	0.363192	-0.051911	30
0.730625	0.372272	-0.061882	31
0.748446	0.381352	-0.072845	32
0.766266	0.390432	-0.084815	33
0.784086	0.399511	-0.097805	34
0.801906	0.408591	-0.111827	35
0.819726	0.417671	-0.126895	36
0.837546	0.426751	-0.143023	37
0.855366	0.435831	-0.160230	38
0.873187	0.444910	-0.178534	39
0.891007	0.453990	-0.197961	40
5
0.170528	0.104500	0.000000	0
0.187581	0.114950	0.000052	1
0.204634	0.125400	0.000192	2
0.221687	0.135850	0.000403	3
0.238739	0.146299	0.000674	4
0.255792	0.156749	0.000996	5
0.272845	0.167199	0.001359	6
0.289898	0.177649	0.001754	7
0.306951	0.188099	0.002170	8
0.324003	0.198549	0.002592	9
0.341056	0.208999	0.003002	10
0.358109	0.219449	0.003381	11
0.375162	0.229899	0.003702	12
0.392215	0.240349	0.003936	13
0.409267	0.250799	0.004048	14
0.426320	0.261249	0.004000	15
0.443373	0.271699	0.003746	16
0.460426	0.282149	0.003238	17
0.477479	0.292599	0.002422	18
0.494531	0.303049	0.001241	19
0.511584	0.313499	-0.000366	20
0.528637	0.323949	-0.002461	21
0.545690	0.334399	-0.005106	22
0.562743	0.344849	-0.008365	23
0.579795	0.355299	-0.012295	24
0.596848	0.365749	-0.016953	25
0.613901	0.376199	-0.022389	26
0.630954	0.386649	-0.028648	27
0.648007	0.397099	-0.035770	28
0.665060	0.407549	-0.043788	29
0.682112	0.417999	-0.052733	30
0.699165	0.428448	-0.062630	31
0.716218	0.438898	-0.073501	32
0.733271	0.449348	-0.085366	33
0.750324	0.459798	-0.098245	34
0.767376	0.470248	-0.112157	35
0.784429	0.480698	-0.127122	36
0.801482	0.491148	-0.143160	37
0.818535	0.501598	-0.160294	38
0.835588	0.512048	-0.178551	39
0.852640	0.522498	-0.197961	40
6
0.161803	0.117557	0.000000	0
0.177984	0.129313	0.000057	1
0.194164	0.141068	0.000209	2
0.210344	0.152824	0.000437	3
0.226525	0.164580	0.000729	4
0.242705	0.176335	0.001075	5
0.258886	0.188091	0.001464	6
0.275066	0.199847	0.001886	7
0.291246	0.211603	0.002328	8
0.307427	0.223358	0.002774	9
0.323607	0.235114	0.003205	10
0.339787	0.246870	0.003599	11
0.355968	0.258625	0.003927	12
0.372148	0.270381	0.004159	13
0.388328	0.282137	0.004259	14
0.404509	0.293892	0.004187	15
0.420689	0.305648	0.003897	16
0.436869	0.317404	0.003340	17
0.453050	0.329160	0.002464	18
0.469230	0.340915	0.001213	19
0.485410	0.352671	-0.000472	20
0.501591	0.364427	-0.002647	21
0.517771	0.376182	-0.005373	22
0.533951	0.387938	-0.008707	23
0.550132	0.399694	-0.012703	24
0.566312	0.411449	-0.017414	25
0.582492	0.423205	-0.022887	26
0.598673	0.434961	-0.029167	27
0.614853	0.446716	-0.036291	28
0.631033	0.458472	-0.044295	29
0.647214	0.470228	-0.053210	30
0.663394	0.481984	-0.063063	31
0.679575	0.493739	-0.073881	32
0.695755	0.505495	-0.085686	33
0.711935	0.517251	-0.098501	34
0.728116	0.529006	-0.112349	35
0.744296	0.540762	-0.127253	36
0.760476	0.552518	-0.143238	37
0.776657	0.564273	-0.160331	38
0.792837	0.576029	-0.178561	39
0.809017	0.587785	-0.197961	40
7
0.152081	0.129890	0.000000	0
0.167289	0.142878	0.000058	1
0.182498	0.155867	0.000213	2
0.197706	0.168856	0.000447	3
0.212914	0.181845	0.000746	4
0.228122	0.194834	0.001099	5
0.243330	0.207823	0.001497	6
0.258538	0.220812	0.001928	7
0.273746	0.233801	0.002378	8
0.288954	0.246790	0.002832	9
0.304163	0.259779	0.003269	10
0.319371	0.272768	0.003667	11
0.334579	0.285757	0.003997	12
0.349787	0.298746	0.004228	13
0.364995	0.311735	0.004323	14
0.380203	0.324724	0.004242	15
0.395411	0.337713	0.003939	16
0.410619	0.350702	0.003365	17
0.425828	0.363691	0.002468	18
0.441036	0.376680	0.001193	19
0.456244	0.389669	-0.000517	20
0.471452	0.402658	-0.002720	21
0.486660	0.415646	-0.005472	22
0.501868	0.428635	-0.008831	23
0.517076	0.441624	-0.012849	24
0.532284	0.454613	-0.017578	25
0.547493	0.467602	-0.023064	26
0.562701	0.480591	-0.029350	27
0.577909	0.493580	-0.036475	28
0.593117	0.506569	-0.044474	29
0.608325	0.519558	-0.053378	30
0.623533	0.532547	-0.063217	31
0.638741	0.545536	-0.074015	32
0.653949	0.558525	-0.085799	33
0.669158	0.571514	-0.098591	34
0.684366	0.584503	-0.112417	35
0.699574	0.597492	-0.127300	36
0.714782	0.610481	-0.143266	37
0.729990	0.623470	-0.160345	38
0.745198	0.636459	-0.178565	39
0.760406	0.649448	-0.197961	40
8
0.141421	0.141421	0.000000	0
0.155564	0.155563	0.000055	1
0.169706	0.169706	0.000205	2
0.183848	0.183848	0.000432	3
0.197990	0.197990	0.000722	4
0.212132	0.212132	0.001067	5
0.226274	0.226274	0.001455	6
0.240416	0.240416	0.001875	7
0.254559	0.254558	0.002316	8
0.268701	0.268700	0.002761	9
0.282843	0.282843	0.003190	10
0.296985	0.296985	0.003583	11
0.311127	0.311127	0.003910	12
0.325269	0.325269	0.004141	13
0.339411	0.339411	0.004240	14
0.353554	0.353553	0.004166	15
0.367696	0.367695	0.003875	16
0.381838	0.381837	0.003316	17
0.395980	0.395980	0.002438	18
0.410122	0.410122	0.001185	19
0.424264	0.424264	-0.000502	20
0.438406	0.438406	-0.002680	21
0.452549	0.452548	-0.005408	22
0.466691	0.466690	-0.008744	23
0.480833	0.480832	-0.012743	24
0.494975	0.494974	-0.017456	25
0.509117	0.509117	-0.022931	26
0.523259	0.523259	-0.029211	27
0.537402	0.537401	-0.036335	28
0.551544	0.551543	-0.044338	29
0.565686	0.565685	-0.053251	30
0.579828	0.579827	-0.063102	31
0.593970	0.593969	-0.073915	32
0.608112	0.608111	-0.085715	33
0.622254	0.622254	-0.098525	34
0.636397	0.636396	-0.112367	35
0.650539	0.650538	-0.127266	36
0.664681	0.664680	-0.143246	37
0.678823	0.678822	-0.160335	38
0.692965	0.692964	-0.178563	39
0.707107	0.707106	-0.197961	40
9
0.129890	0.152081	0.000000	0
0.142879	0.167289	0.000048	1
0.155868	0.182497	0.000185	2
0.168857	0.197705	0.000393	3
0.181846	0.212914	0.000661	4
0.194835	0.228122	0.000979	5
0.207824	0.243330	0.001339	6
0.220813	0.258538	0.001732	7
0.233801	0.273746	0.002145	8
0.246790	0.288954	0.002564	9
0.259779	0.304162	0.002973	10
0.272768	0.319370	0.003349	11
0.285757	0.334578	0.003668	12
0.298746	0.349787	0.003899	13
0.311735	0.364995	0.004010	14
0.324724	0.380203	0.003959	15
0.337713	0.395411	0.003702	16
0.350702	0.410619	0.003192	17
0.363691	0.425827	0.002372	18
0.376680	0.441035	0.001187	19
0.389669	0.456243	-0.000424	20
0.402658	0.471451	-0.002524	21
0.415647	0.486660	-0.005175	22
0.428636	0.501868	-0.008439	23
0.441625	0.517076	-0.012374	24
0.454614	0.532284	-0.017037	25
0.467603	0.547492	-0.022476	26
0.480592	0.562700	-0.028737	27
0.493581	0.577908	-0.035859	28
0.506570	0.593116	-0.043875	29
0.519559	0.608324	-0.052816	30
0.532548	0.623533	-0.062707	31
0.545537	0.638741	-0.073569	32
0.558526	0.653949	-0.085425	33
0.571515	0.669157	-0.098294	34
0.584504	0.684365	-0.112195	35
0.597493	0.699573	-0.127148	36
0.610482	0.714781	-0.143176	37
0.623471	0.729989	-0.160302	38
0.636460	0.745197	-0.178554	39
0.649449	0.760405	-0.197961	40
10
0.117557	0.161803	0.000000	0
0.129313	0.177984	0.000039	1
0.141069	0.194164	0.000155	2
0.152824	0.210344	0.000333	3
0.164580	0.226525	0.000565	4
0.176336	0.242705	0.000843	5
0.188091	0.258885	0.001159	6
0.199847	0.275066	0.001506	7
0.211603	0.291246	0.001874	8
0.223359	0.307426	0.002252	9
0.235114	0.323607	0.002624	10
0.246870	0.339787	0.002972	11
0.258626	0.355967	0.003275	12
0.270382	0.372148	0.003505	13
0.282137	0.388328	0.003631	14
0.293893	0.404508	0.003615	15
0.305649	0.420689	0.003416	16
0.317404	0.436869	0.002983	17
0.329160	0.453049	0.002263	18
0.340916	0.469230	0.001194	19
0.352672	0.485410	-0.000287	20
0.364427	0.501590	-0.002248	21
0.376183	0.517771	-0.004761	22
0.387939	0.533951	-0.007894	23
0.399694	0.550131	-0.011715	24
0.411450	0.566312	-0.016285	25
0.423206	0.582492	-0.021659	26
0.434962	0.598672	-0.027885	27
0.446717	0.614853	-0.035003	28
0.458473	0.631033	-0.043044	29
0.470229	0.647213	-0.052035	30
0.481984	0.663394	-0.061998	31
0.493740	0.679574	-0.072950	32
0.505496	0.695754	-0.084905	33
0.517252	0.711935	-0.097879	34
0.529007	0.728115	-0.111884	35
0.540763	0.744295	-0.126935	36
0.552519	0.760476	-0.143048	37
0.564274	0.776656	-0.160242	38
0.576030	0.792836	-0.178538	39
0.587786	0.809017	-0.197961	40
11
0.104500	0.170528	0.000000	0
0.114950	0.187581	0.000027	1
0.125400	0.204634	0.000117	2
0.135850	0.221686	0.000258	3
0.146300	0.238739	0.000444	4
0.156750	0.255792	0.000669	5
0.167200	0.272845	0.000928	6
0.177650	0.289898	0.001214	7
0.188100	0.306950	0.001521	8
0.198550	0.324003	0.001841	9
0.209000	0.341056	0.002161	10
0.219450	0.358109	0.002467	11
0.229900	0.375161	0.002742	12
0.240350	0.392214	0.002964	13
0.250800	0.409267	0.003105	14
0.261250	0.426320	0.003131	15
0.271700	0.443373	0.003004	16
0.282150	0.460425	0.002677	17
0.292600	0.477478	0.002094	18
0.303050	0.494531	0.001193	19
0.313500	0.511584	-0.000096	20
0.323950	0.528637	-0.001850	21
0.334400	0.545689	-0.004151	22
0.344850	0.562742	-0.007082	23
0.355300	0.579795	-0.010723	24
0.365750	0.596848	-0.015147	25
0.376199	0.613901	-0.020420	26
0.386649	0.630953	-0.026592	27
0.397099	0.648006	-0.033704	28
0.407549	0.665059	-0.041784	29
0.417999	0.682112	-0.050853	30
0.428449	0.699165	-0.060926	31
0.438899	0.716217	-0.072013	32
0.449349	0.733270	-0.084120	33
0.459799	0.750323	-0.097251	34
0.470249	0.767376	-0.111414	35
0.480699	0.784429	-0.126612	36
0.491149	0.801481	-0.142854	37
0.501599	0.818534	-0.160150	38
0.512049	0.835587	-0.178513	39
0.522499	0.852640	-0.197961	40
12
0.090798	0.178201	0.000000	0
0.099878	0.196021	0.000015	1
0.108958	0.213841	0.000076	2
0.118038	0.231662	0.000176	3
0.127118	0.249482	0.000310	4
0.136197	0.267302	0.000474	5
0.145277	0.285122	0.000665	6
0.154357	0.302942	0.000880	7
0.163437	0.320762	0.001113	8
0.172517	0.338582	0.001359	9
0.181597	0.356402	0.001612	10
0.190676	0.374223	0.001861	11
0.199756	0.392043	0.002094	12
0.208836	0.409863	0.002294	13
0.217916	0.427683	0.002440	14
0.226996	0.445503	0.002506	15
0.236075	0.463323	0.002457	16
0.245155	0.481143	0.002252	17
0.254235	0.498963	0.001839	18
0.263315	0.516784	0.001154	19
0.272395	0.534604	0.000123	20
0.281475	0.552424	-0.001343	21
0.290554	0.570244	-0.003340	22
0.299634	0.588064	-0.005974	23
0.308714	0.605884	-0.009348	24
0.317794	0.623704	-0.013558	25
0.326874	0.641524	-0.018683	26
0.335954	0.659345	-0.024780	27
0.345033	0.677165	-0.031886	28
0.354113	0.694985	-0.040026	29
0.363193	0.712805	-0.049210	30
0.372273	0.730625	-0.059441	31
0.381353	0.748445	-0.070718	32
0.390433	0.766265	-0.083034	33
0.399512	0.784085	-0.096385	34
0.408592	0.801905	-0.110764	35
0.417672	0.819726	-0.126164	36
0.426752	0.837546	-0.142584	37
0.435832	0.855366	-0.160021	38
0.444912	0.873186	-0.178478	39
0.453991	0.891006	-0.197961	40
13
0.076537	0.184776	0.000000	0
0.084191	0.203253	0.000004	1
0.091844	0.221731	0.000036	2
0.099498	0.240209	0.000095	3
0.107152	0.258686	0.000177	4
0.114805	0.277164	0.000278	5
